ticker,sentiment,lastSentiment,sentimentChange,rank,name,price,change,changePercent,volume,marketCap,previousVolume,previousClose
TSM,13.471245421245426,10.231065759637193,31.67001109885481,147,Taiwan Semiconductor Manufacturing Company Limited,106.44,0.75,0.0071,20329430,548116382163,13415591,101.6003
BRLT,23.485705128205115,17.892333333333333,31.26127649573438,148,"Brilliant Earth Group, Inc.",9.81,1.6500006,0.20220596000000002,842474,94012472,332078,8.16
EBAY,9.784615384615392,7.458333333333322,31.190373871938416,149,eBay Inc.,54.77,0.83000183,0.015387501999999999,7363830,32178964480,8927371,53.94
YANG,9.317343508771936,7.179841269841258,29.770884321763514,150,Direxion Daily FTSE China Bear 3X Shares,16.3,0.1,0.00617,17752204,34462859,10733641,43.91
AC.TO,7.7536146723646615,5.999523809523799,29.23716812418302,151,Air Canada,22.68,1.4799995,0.0698113,6830172,8119723846,3287837,21.2
AES,44.733333333333334,35.06666666666667,27.56653992395437,152,The AES Corporation,22.65,0.30999947,0.013876431,5363932,15116499966,4247700,22.34
ATEN,26.00000000000002,20.444444444444443,27.173913043478382,153,"A10 Networks, Inc.",13.25,0,0,726325,1012225827,663914,12.88
BEST,60.71696078431372,48.026594202898565,26.423623811011886,154,BEST Inc.,0.586,0.07570005,0.1483442,3070212,240428784,2953792,0.5103
TSLA,5.9521057439125835,4.712408674418445,26.307078930227323,155,"Tesla, Inc.",840.23,38.339966,0.047812,27890819,901222301696,22280381,801.89
SESN,8.536900000000003,6.770657738095243,26.08671609505473,156,"Sesen Bio, Inc.",0.6352,0.02270001,0.037061243,1274929,127417376,1270908,0.6125
PPSI,20.89861111111111,16.666666666666675,25.39166666666659,157,"Pioneer Power Solutions, Inc.",5.99,0.17999983,0.030981038000000002,120137,52705312,213544,5.81
SRNE,9.769529816993394,7.80722331290713,25.134499494104666,158,"Sorrento Therapeutics, Inc.",2.4,0.24000001,0.11111112000000001,9189479,813045867,8145346,2.16
WKHS,13.163422243179701,10.590452559300868,24.29518162204665,159,Workhorse Group Inc.,3.7,0.47000003,0.14551084,7501750,561197644,4032837,3.23
S,9.588515406162479,7.7320350218886835,24.010242827641992,160,"SentinelOne, Inc.",35.19,0.14,0.00399,14816406,1460833808,9694950,30.89
KEY,48.75000000000001,39.58333333333333,23.15789473684213,161,KeyCorp,24.36,0.52,0.0218121,12916628,22600259584,6940392,23.84
NINE,8.292711302775068,6.737813441832419,23.077187790461863,162,"Nine Energy Service, Inc.",2.51,0,0,4938537,82466186,3132558,3.27
FSR,15.3734761168282,12.567486381154747,22.3273743895287,163,Fisker Inc.,11.53,0,0,7749010,1895975697,6290322,10.65
GNUS,14.983041748195468,12.263731787117216,22.173592902079186,164,"Genius Brands International, Inc.",0.85,0.04340005,0.05380616,2326615,255822321,2025008,0.8066
MSTR,11.406249999999996,9.515555555555565,19.869511910322114,165,MicroStrategy Incorporated,428.78,32.639984,0.08239507,567332,3978280759,378014,396.14
