ticker,sentiment,lastSentiment,rank,name,price,change,changePercent,volume,marketCap,previousVolume,previousClose
V,5.292578125000014,13.066877104377106,121,Visa Inc.,197.97,-1.7899933,-0.008960719,6872350,428711968768,8457627,199.76
GME,5.3678068213852015,8.107099821013009,122,GameStop Corp.,100.56,-4.6500015,-0.044197335000000004,1353332,7677834537,1399597,105.21
SHOP,5.5126793062904245,13.33328578653683,123,Shopify Inc.,553.18,-34.47003,-0.058657417,2839023,70211264512,3983554,587.65
MVST,5.520370370370387,19.5125,124,"Microvast Holdings, Inc.",9.47,0.7600002,0.08725605,2119140,2839878440,1747527,8.71
THMO,5.530303030303019,21.26999999999999,125,"ThermoGenesis Holdings, Inc.",0.61,-0.0079,-0.012785238999999999,87285,7360291,262960,0.6179
NNDM,5.5333333333333234,16.833950617283943,126,Nano Dimension Ltd.,3.37,0.01999998,0.0059701437000000005,2264680,836041258,2494250,3.35
PHUN,5.60507222793194,16.17916118421052,127,"Phunware, Inc.",2.42,-0.02999997,-0.012244886,2959200,235296630,4141461,2.45
AY,5.733333333333324,26.695,128,Atlantica Sustainable Infrastructure plc,35.14,0.02000046,0.0005694892,457909,3949840471,622370,35.12
ILMN,5.740740740740735,14.702380952380945,129,"Illumina, Inc.",316.04,-8.669983,-0.026700697,768526,49618280448,873582,324.71
MRO,5.7950221238938004,14.09072629969419,130,Marathon Oil Corporation,23.88,0.47999954,0.0205128,24553980,17450668032,39085192,23.4
UA,5.8506944444444375,-3.3074074074074034,131,"Under Armour, Inc.",13.83,0.0699997,0.005087187,4303740,6857287680,4304287,13.76
XSPA,5.8851715686274675,23.279392655367225,132,"XpresSpa Group, Inc.",1.04,-0.00999999,-0.0095238006,560867,108832294,697842,1.05
S,5.995554159687333,9.386009821976682,133,"SentinelOne, Inc.",35.24,0.6000023,0.017321082,5572642,1468752736,6544571,34.64
GOOS,6.000000000000005,11.66666666666667,134,Canada Goose Holdings Inc.,23.46,0.02999878,0.0012803575,768109,2529902848,877721,23.43
NKE,6.008836206896562,5.420515292295769,135,"NIKE, Inc.",126.03,-0.91999817,-0.0072469336,6865172,199291240448,8845072,126.95
GBT,6.154166666666661,9.833095238095236,136,"Global Blood Therapeutics, Inc.",28.6,-0.6099987,-0.020883213999999997,1417589,1849355712,1170265,29.21
GOEV,6.285937499999994,15.10062724014336,137,Canoo Inc.,5.81,-0.03000021,-0.005137022,1854572,1384055665,3980888,5.84
SKLZ,6.3121253968253965,14.576488095238084,138,Skillz Inc.,2.5,-0.1400001,-0.053030343,8496780,924474320,11234774,2.64
INMD,6.561666666666666,2.1310185185185126,139,InMode Ltd.,38.34,-0.6100006,-0.015661118,1250195,3191467520,1126229,38.95
BA,6.605369061641131,10.084206489924563,140,The Boeing Company,178.39,-0.16999817,-0.0009520507,7871526,104001328078,10062148,178.56
ASHR,6.612499999999999,10.292708333333334,141,Xtrackers Harvest CSI 300 China A-Shares ETF,34.01,0.36,0.0107,0,2964565034,7435376,33.68
CCU,6.636904761904772,25,142,Compañía Cervecerías Unidas S.A.,14.21,0.29,0.02083,0,2571739989,146617,14.49
EURN,6.666666666666665,18.988095238095216,143,Euronav NV,11.45,0.14999962,0.013274302,2279351,2519282964,2865567,11.3
ANF,6.666666666666665,8.906250000000004,144,Abercrombie & Fitch Co.,28.93,1.0699997,0.038406305,1432171,1532856064,3166351,27.86
AHI,6.666666666666665,3.0479166666666613,145,Advanced Human Imaging Limited,1.02,-0.02999997,-0.028571403000000002,261520,23770982,815820,1.05
