ticker,sentiment,lastSentiment,rank,name,price,change,changePercent,volume,marketCap,previousVolume,previousClose
GOOD,63.46000000000001,43.96666666666667,1,Gladstone Commercial Corporation,21.3,0.17,0.00805,37415,805118253,362109,21.13
BEST,61.99482638888889,46.86510416666665,2,BEST Inc.,0.5035,0.0274,0.05755,1470298,126201496,4328947,0.4761
ELOX,52.53333333333332,24.021666666666654,3,"Eloxx Pharmaceuticals, Inc.",0.4032,-0.0168,-0.04,19315,34776954,120928,0.42
RIDE,49.296300182481744,36.429222629222615,4,Lordstown Motors Corp.,2.095,0.045,0.02195,1591776,411625761,6271861,2.05
NAT,49.23333333333333,29.999999999999982,5,Nordic American Tankers Limited,1.87,-0.05,-0.02604,1394608,361768678,3710437,1.92
WOW,47.03599975949977,31.040245597775716,6,"WideOpenWest, Inc.",18.05,0.18,0.01007,28326,1577439011,356530,17.87
APDN,44.52,0,7,"Applied DNA Sciences, Inc.",2.14,0.09,0.0439,25016,16020297,75802,2.05
LSTR,44.44444444444444,0,8,"Landstar System, Inc.",153.63,3.11,0.02066,26154,5729581228,265963,150.52
SOLO,43.037392676767695,61.54880907960199,9,Electrameccanica Vehicles Corp.,1.73,0.03,0.01765,1038869,195472742,2290384,1.7
OOMA,42.71666666666667,46.85277777777779,10,"Ooma, Inc.",14.26,-0.08,-0.00558,15000,339388000,115109,14.34
AES,42.614814814814835,19.999999999999996,11,The AES Corporation,22.11,0.39,0.01796,962887,14756106590,5516979,21.72
NICE,41.811721611721595,32.26275583946314,12,NICE Ltd.,203.17,0.43,0.00212,138474,12824383168,486306,202.74
NOK,41.49946236559141,37.24078947368421,13,Nokia Oyj,5.055,0.035,0.00697,10531960,28794600159,36673617,5.02
BRLT,41.39999999999999,35.00000000000001,14,"Brilliant Earth Group, Inc.",8.14,0.36,0.04627,34029,78008322,301733,7.78
TNP,39.99999999999999,10.000000000000009,15,Tsakos Energy Navigation Limited,7.56,-0.24,-0.03077,43242,137560324,262385,7.8
SNGX,39.99999999999999,0,16,"Soligenix, Inc.",0.6962,0.0162,0.02382,19578,27920238,92933,0.68
FDMT,39.99999999999999,26.554166666666678,17,"4D Molecular Therapeutics, Inc.",13.93,0.08,0.00578,13828,447693679,380779,13.85
USIO,39.99999999999999,0,18,"Usio, Inc.",3.03,0,0,12456,75670538,55304,3.03
VAC,39.99999999999999,0,19,Marriott Vacations Worldwide Corporation,152.49,3.37,0.0226,35307,6420458479,361824,149.12
NAD,39.41666666666666,19.999999999999996,20,Nuveen Quality Municipal Income Fund,13.54,-0.01,-0.00074,118235,2865728042,640352,13.55
MGTX,39.074999999999996,0,21,MeiraGTx Holdings plc,13.55,-0.11,-0.00805,4159,605381670,104270,13.66
AGS,38.74999999999999,0,22,"PlayAGS, Inc.",7.03,0.17,0.02478,76850,259884407,457520,6.86
CRM,38.51214448236633,47.611638086062925,23,"salesforce.com, inc.",194.405,1.285,0.00665,1626826,192460950000,5665470,193.12
HA,38.43333333333332,40.58333333333333,24,"Hawaiian Holdings, Inc.",17.43,0.98,0.05957,295655,893002363,858308,16.45
WOLF,38.22828665922171,39.93157320872274,25,"Wolfspeed, Inc.",88.85,2.39,0.02764,565238,10979646302,1617701,86.46
GRBK,38.01666666666668,25,26,"Green Brick Partners, Inc.",21.65,0.56,0.02655,120299,1098953394,432285,21.09
GO,37.728703703703694,41.14329004329002,27,Grocery Outlet Holding Corp.,28.325,0.245,0.00873,152148,2720204744,740530,28.08
ASG,36.66666666666667,0,28,"Liberty All-Star Growth Fund, Inc.",6.6,0.11,0.01695,49242,281444480,312745,6.49
TALK,35.923913043478265,47.92187499999998,29,"Talkspace, Inc.",1.385,0.055,0.04135,50919,213253893,1045988,1.33
NTLA,35.7764705882353,37.5,30,"Intellia Therapeutics, Inc.",57.53,-1.27,-0.0216,672675,4295904725,1172855,58.8
VIAC,35.252380952380946,5.750000000000011,31,Paramount Global,29.58,-6.4100018,-0.17810507,87513978,19288940544,13495153,35.99
ALKM,33.33333333333333,27.99999999999998,32,Alkame Holdings Inc,0.0006,0,0,0,4679864,8063269,0.0006
REAL,32.66234903381642,20.23432208994709,33,"The RealReal, Inc.",6.38,0.55,0.09434,1187097,593693375,2769812,5.83
ST,31.750641025641023,14.07222222222222,34,Sensata Technologies Holding plc,51.625,-0.225,-0.00434,426607,8137994689,1167518,51.85
KEY,31.556251503126486,27.645872113997115,35,KeyCorp,23.71,-0.1,-0.0042,2027827,21997214045,11074568,23.81
ATRA,31.447222222222226,5.000000000000004,36,"Atara Biotherapeutics, Inc.",8.52,0.08,0.00948,108937,753316129,1321245,8.44
