ticker,sentiment,lastSentiment,sentimentChange,rank,name,price,change,changePercent,volume,marketCap,previousVolume,previousClose
SM,20.612512400793648,12.965054713804713,58.98515552615604,105,SM Energy Company,35.87,-1.0900002,-0.029491345999999998,3038777,4496555520,3506121,36.96
PEP,12.321874999999993,7.756805555555557,58.8524414045013,106,"PepsiCo, Inc.",159.7,0.69999695,0.0044024965,6298942,220936962048,6203356,159
NNDM,23.33333333333334,14.714000000000006,58.57913098636218,107,Nano Dimension Ltd.,3.46,0.22000003,0.067901244,3736163,859679329,3230833,3.24
G,13.447222222222234,8.513333333333328,57.954842077786694,108,Genpact Limited,43.9,1.7000008,0.040284376000000004,1019643,8129183232,783896,42.2
CNTX,60.00000000000001,38.14999999999999,57.27391874180869,109,Context Therapeutics Inc.,1.79,0,0,129820,19848556,70590,1.79
SD,16.816273120818572,10.739325446243253,56.58593461008401,110,"SandRidge Energy, Inc.",14,0,0,1009113,513751266,2249007,13.51
PFE,9.426575767195766,6.067466223863294,55.362641000309544,111,Pfizer Inc.,52.802,-0.118,-0.00223,29883878,297587495245,30172127,52.21
BLD,22.92000000000001,14.761904761904754,55.2645161290324,112,TopBuild Corp.,219.72,2.4400024,0.011229761,195108,7234764288,168084,217.28
CPRI,26,16.7511574074074,55.2131555309888,113,Capri Holdings Limited,54.7,4.540001,0.09051039,3275180,8074541056,2780989,50.16
U,4.7853943958535705,3.184334415584411,50.27926628665105,114,Unity Software Inc.,88.19,0.46,0.00524,6142476,25800983038,3729032,77.28
GGPI,10.6416882332643,7.123541666666666,49.38760424551414,115,"Gores Guggenheim, Inc.",10.81,0.12000084,0.011225524,1913873,864000000,1491246,10.69
ILUS,16.817788918283362,11.332975778546706,48.39693692912847,116,Ilustrato Pictures Internationl Inc,0.132,0,0,0,161211252,6743447,0.132
ILMN,26.197376543209884,17.760416666666657,47.50429021396776,117,"Illumina, Inc.",326.6,13.990021,0.044752316,871651,51276201984,814373,312.61
MRO,9.954563492063496,6.777465986394549,46.87736555294892,118,Marathon Oil Corporation,21.57,-0.02,-0.00093,21045368,15777219869,25237932,21.65
B,8.268015873015887,5.629725308641986,46.86357539192822,119,Barnes Group Inc.,41.77,1.39,0.034423,275644,2169859584,390385,40.38
LSTR,36.66666666666667,25,46.66666666666668,120,"Landstar System, Inc.",158.65,5.519989,0.03604773,266668,5916804096,237350,153.13
FTI,15.937500000000004,10.878030303030295,46.510899087680336,121,TechnipFMC plc,7.02,0,0,7544269,3163917370,7703469,7.08
AEP,20.047916666666655,13.80164473684211,45.25744611546729,122,"American Electric Power Company, Inc.",95.07,-1.0400009,-0.010820943999999999,2868793,47935434752,3673922,96.11
GRA,19.999999999999996,13.79999999999999,44.92753623188415,123,W. R. Grace & Co.,69.99,0,0,0,4638240869,1156293,69.99
ISIG,12.81283333333334,8.938657407407401,43.34181017739238,124,"Insignia Systems, Inc.",8.58,-0.13000011,-0.014925386,145674,15326420,343800,8.71
TLRY,17.4488480963481,12.175993104118099,43.3053381941112,125,"Tilray Brands, Inc.",5.33,0.32999992,0.065999985,21960944,2564663986,17489359,5
NVDA,15.767879243874706,11.04398015543564,42.77352025224395,126,NVIDIA Corporation,244.96,15.230011,0.066295266,66272179,610440314880,49199569,229.73
COIN,8.466915308992395,5.93332477619799,42.7010256198701,127,"Coinbase Global, Inc.",172.53,16.550003,0.10610336999999999,5791167,45185605632,4245352,155.98
GME,6.982569029287022,4.911335443219911,42.1725131588486,128,GameStop Corp.,86.85,-0.01,-0.00012,2647130,6631828838,3528798,82.64
ATVI,21.957638888888887,15.454402587519024,42.080153306099824,129,"Activision Blizzard, Inc.",79.12,-0.3899994,-0.0049050358,10674342,62242041856,7352798,79.51
RIVN,9.023335415040323,6.39508136168514,41.09805496927446,130,"Rivian Automotive, Inc.",41.58,4.580002,0.12378384,23367969,37109832246,19671319,37
GEVO,21.034652509652506,15.029212962962957,39.95844334290142,131,"Gevo, Inc.",3.8,0.14999986,0.04109585,8262542,769576802,6683907,3.65
ETEK,19.767720306513414,14.151185636856379,39.689498913991514,132,"Eco-Tek Group, Inc.",0.0022,-0.0002,-0.08333338,57294909,12779503,38889859,0.0024
PSFE,5.045312499999999,3.6329545454545586,38.87629027212958,133,Paysafe Limited,3.19,-0.06,-0.01846,10866936,476785871,8132336,2.97
EEENF,17.17252912373526,12.406628755668937,38.41414506651253,134,88 Energy Limited,0.0286,0,0,0,454316932,56182575,0.0286
DAC,21.448715811965812,15.515334821428572,38.24204284874675,135,Danaos Corporation,105.83,7.4900055,0.07616439,1046199,2192437760,669521,98.34
LYFT,17.26840277777779,12.503435672514618,38.109262366484195,136,"Lyft, Inc.",37.86,2.119999,0.059317255,6653294,12877484566,6629451,35.74
NIO,14.459251803324879,10.58075872989679,36.656095960954985,137,NIO Inc.,19.16,0.41,0.02187,167375158,29229568800,139771557,14.93
OXY,20.5621656782371,15.096884967541001,36.20138010223106,138,Occidental Petroleum Corporation,52.98,-0.01,-0.00019,43345762,49496050777,49163860,54.53
WKHS,16.31854026845638,11.99137931034484,36.085598212864014,139,Workhorse Group Inc.,3.7,0.47000003,0.14551084,7501750,561197644,4032837,3.23
APLE,28.750000000000007,21.160483870967738,35.866458325393545,140,"Apple Hospitality REIT, Inc.",18.12,0.21000099,0.011725348,2144164,4189307904,1734130,17.91
ES,7.361036534711918,5.4237917445654205,35.71753639117128,141,Eversource Energy,84.03,-0.13999939,-0.0016632932,2233570,28943292416,3722481,84.17
IVOL,44.39999999999999,32.8125,35.314285714285695,142,Quadratic Interest Rate Volatility and Inflation Hedge ETF New,26.18,-0.20999908,-0.007957525,544214,1861398000,1054905,26.39
