ticker,sentiment,lastSentiment,rank,name,price,change,changePercent,volume,marketCap,previousVolume,previousClose
CHEK,1.8178571428571377,5.358333333333332,101,Check-Cap Ltd.,0.3977,0.00770003,0.019743656999999998,729262,37597930,1478856,0.39
APDN,1.9123684210526237,11.223684210526308,102,"Applied DNA Sciences, Inc.",2.18,-0.16999984,-0.07234035999999999,110127,16057727,795928,2.35
FCX,1.963253968253964,9.080857142857134,103,Freeport-McMoRan Inc.,47.71,0.7199974,0.015322354,16543447,69407555584,23418117,46.99
EPIX,2.05833333333334,-1.6666666666666607,104,ESSA Pharma Inc.,7.14,-0.28999996,-0.03903095,117745,228939895,214762,7.43
BB,2.1100429698803103,10.54317454271365,105,BlackBerry Limited,6.51,-0.22999954,-0.03412456,10782468,3741701766,5228388,6.74
AREB,2.1808333333333207,11.701167127219758,106,"American Rebel Holdings, Inc.",1.37,-0.23000002,-0.14375000999999998,677024,,,1.6
JD,2.399153835939649,4.124860409652076,107,"JD.com, Inc.",52.52,-9.880001,-0.15833335,54804281,86331850752,9487275,62.4
POST,2.499999999999991,-1.2499999999999956,108,"Post Holdings, Inc.",100.27,0,0,0,6202660588,633351,100.51
DAVE,2.499999999999991,33.45,109,Dave Inc.,5.55,0.39,0.07558,0,1655053690,1116155,5.16
MAPS,2.504615384615372,-7.651111111111108,110,"WM Technology, Inc.",5.77,-0.01000023,-0.0017301432999999998,415072,406202617,675705,5.78
RUSL,2.576325757575759,-1.5278571428571475,111,Direxion Daily Russia Bull 2X Shares,2.58,0,0,176,58446609,17914502,2.58
RBLX,2.5949650959860238,3.815648148148143,112,Roblox Corporation,41.47,-2.9099998,-0.065570073,23351474,22830884511,18344846,44.38
ASHR,2.662500000000012,-1.2499999999999956,113,Xtrackers Harvest CSI 300 China A-Shares ETF,34.01,0.36,0.0107,0,2964565034,7435376,33.68
STRN,2.7655283224400806,10.92326388888889,114,"Stran & Company, Inc.",1.66,0.18999994,0.12925166000000002,1013774,24730119,363861,1.47
BABA,2.933502774883734,2.8971467695059205,115,Alibaba Group Holding Limited,92.92,-8.010002,-0.079361954,37448985,249722503168,20853630,100.93
SDC,3.007060185185173,12.886315856129693,116,"SmileDirectClub, Inc.",2.13,-0.06999993,-0.031818151,2981908,258157601,2540280,2.2
MQ,3.1347961432506954,7.962691768603469,117,"Marqeta, Inc.",10.22,-0.48999977,-0.045751615,22593530,2378406275,12230718,10.71
DATS,3.139880952380958,9.627407407407397,118,"DatChat, Inc.",1.6,-0.09000003,-0.053254457000000005,348733,31257883,658729,1.69
GILD,3.2199108431251178,2.1918803418803368,119,"Gilead Sciences, Inc.",57.92,-1.0800018,-0.018305116,13241658,72625307648,13681985,59
VLON,3.3333333333333215,5.000000000000004,120,"Vallon Pharmaceuticals, Inc.",6.145,-0.4949999,-0.07454818,196533,41830813,105050,6.64
ST,3.3333333333333437,0,121,Sensata Technologies Holding plc,52.94,-0.18,-0.00339,0,8373661557,2705484,53.69
SOFI,3.341922823958088,4.053378317962597,122,"SoFi Technologies, Inc.",9.41,-0.46000004,-0.046605882999999994,47638370,7797046862,53891065,9.87
RKT,3.3727435313315013,11.983155616313512,123,"Rocket Companies, Inc.",11.41,-0.44000053,-0.037130844999999996,4451484,22675091456,8096161,11.85
FERN,3.380483405483403,6.251467120181409,124,Fernhill Corp,0.0099,0.0001,0.0102,0,22154232,13903901,0.0098
NOK,3.383114035087731,13.469999999999981,125,Nokia Oyj,4.85,-0.05999994,-0.012219948000000001,25410849,28439234560,36988950,4.91
DRCT,3.4483093525179864,8.468734325934534,126,Direct Digital Holdings Inc Class A,2.39,-0.1,-0.04016,0,7027348,105778908,2.49
CODX,3.4502142857142815,10.11113791308873,127,"Co-Diagnostics, Inc.",5.53,-0.10999966,-0.019503485,554574,161255360,368942,5.64
OXY,3.6081769893934634,6.2042227428796615,128,Occidental Petroleum Corporation,58.13,0.63000107,0.010956539999999999,81031288,54297141248,134668989,57.5
GOGL,3.635909090909095,3.5916666666666597,129,Golden Ocean Group Limited,11.93,0.11999989,0.010160869999999999,2782702,2445996032,3550733,11.81
DWAC,3.694696764975025,5.638069077354313,130,Digital World Acquisition Corp.,70.29,-5.449997,-0.07195666,2846479,2110614278,2299264,75.74
SPY,3.761214368997834,4.738931875892605,131,SPDR S&P 500 ETF Trust,425.48,-1.92999,-0.00451555,93972655,390497894400,116990765,427.41
CORN,3.833333333333333,13.124189814814802,132,Teucrium Corn Fund,26,-0.38,-0.0144,0,207083106,413895,25.83
V,3.841455525606463,12.100980392156856,133,Visa Inc.,197.97,-1.7899933,-0.008960719,6872350,428711968768,8457627,199.76
USO,3.885873481285529,3.4487992333116724,134,"United States Oil Fund, LP",74.06,-1.4100037,-0.018682966999999998,11662830,8820545536,29934554,75.47
OCUP,3.888888888888875,34.07777777777776,135,"Ocuphire Pharma, Inc.",3.55,0.12,0.03499,0,61416708,85502,3.43
AQST,3.959565972222223,7.463247863247857,136,"Aquestive Therapeutics, Inc.",2.55,-0.25,-0.08928572000000001,407182,104913048,397420,2.8
BMBL,3.9596547123360137,5.524867408133449,137,Bumble Inc.,23.24,-0.39999962,-0.016920458,11098904,4290104064,38246975,23.64
SRNE,3.9669406269452256,9.625911981185077,138,"Sorrento Therapeutics, Inc.",2.25,-0.05999994,-0.025974002,7347289,693850562,12088836,2.31
MRNA,4.039658380727462,7.726309792663866,139,"Moderna, Inc.",139.52,-2.9700012,-0.020843577,5557146,56208842752,9533949,142.49
NIO,4.0423853149641475,9.899587711558745,140,NIO Inc.,17.77,-2.3999996,-0.11898858000000001,101474371,27701836671,84306714,20.17
BIIB,4.04461279461279,9.375,141,Biogen Inc.,198.64,-3.630005,-0.017946333000000002,1165646,29192732672,1236890,202.27
TLRY,4.311513717188276,6.700970009157503,142,"Tilray Brands, Inc.",5.42,-0.07999992,-0.014545441,12281633,2600718306,15836409,5.5
PTRA,4.401879509379514,0.6755546071678165,143,Proterra Inc.,7.18,-0.28999996,-0.03882195,2771186,1565261039,3482959,7.47
NOV,4.499999999999993,-7.499999999999984,144,NOV Inc.,21.91,0.8199997,0.03888097,6426261,8603297183,9617980,21.09
MARA,4.528772277917015,6.846457474213019,145,"Marathon Digital Holdings, Inc.",24.75,-0.9300003,-0.036214967,9376086,2536002793,15227990,25.68
LKNCY,4.566928649542845,11.461914814942741,146,Luckin Coffee Inc.,9.28,-1.5700006,-0.14470051,5232090,2550287411,1382965,10.85
FB,4.569560799341743,5.4276896703764566,147,"Meta Platforms, Inc.",195.21,-3.2899933,-0.016574273,24852975,531349929984,31894695,198.5
MRU.TO,4.620000000000002,-0.8449999999999958,148,Metro Inc.,72.34,-0.22000122,-0.0030319905,699534,17427935232,186743,72.56
PFE,4.656241732804234,6.862132485569994,149,Pfizer Inc.,49.2,0.45000076,0.0092307854,24530773,276668809216,24718917,48.75
GOEV,4.697054075867646,14.19016713352006,150,Canoo Inc.,5.81,-0.03000021,-0.005137022,1854572,1384055665,3980888,5.84
AFRM,4.745614035087731,-1.8093762183235884,151,"Affirm Holdings, Inc.",36.55,-0.25,-0.006793479,5854380,8176404926,7208905,36.8
RIVN,4.778512579345806,4.650368737225152,152,"Rivian Automotive, Inc.",41.16,-2.790001,-0.06348124999999999,28608580,36699285761,15784712,43.95
LTBR,4.790686274509803,3.4596905912123166,153,Lightbridge Corporation,10.75,-1.74,-0.13931,0,82006827,2751793,12.49
XSPA,4.810622267145859,11.15298621602494,154,"XpresSpa Group, Inc.",1.04,-0.00999999,-0.0095238006,560867,108832294,697842,1.05
TSLA,4.835152351594507,5.248207760119983,155,"Tesla, Inc.",838.3,-20.669983,-0.024063685,19549548,866391425024,19727993,858.97
MARPS,4.86896722629222,6.439282983282024,156,Marine Petroleum Trust,14.1,0.2,0.01439,0,28200000,6084048,13.9
AAPL,4.881088596336847,8.731974760998806,157,Apple Inc.,158.52,-4.4299927,-0.027186210000000002,96831210,2586951286784,91454905,162.95
MSFT,4.957628954793125,9.505164809470369,158,Microsoft Corporation,285.59,-2.9100037,-0.010086668,30628012,2141031104512,35204480,288.5
SOLO,4.975277777777776,0.4265303030303036,159,Electrameccanica Vehicles Corp.,1.93,-0.06000006,-0.030150783,1211506,218635696,2374002,1.99
