ticker,sentiment,lastSentiment,rank,name,price,change,changePercent,volume,marketCap,previousVolume,previousClose
GPS,80,49.60833333333334,1,"The Gap, Inc.",14.27,0.34,0.02441,2180884,5328464292,7388543,13.93
GOOD,77.60000000000001,0,2,Gladstone Commercial Corporation,21.3,0.17,0.00805,37415,805118253,362109,21.13
SLAB,75,0,3,Silicon Laboratories Inc.,137.305,3.505,0.0262,82938,5239521316,586361,133.8
USIO,60.00000000000001,0,4,"Usio, Inc.",3.03,0,0,12444,75670538,55304,3.03
EPIX,51.90000000000001,80,5,ESSA Pharma Inc.,6.25,-0.02,-0.00319,67085,200402569,351859,6.27
SD,50.09999999999999,6.718749999999996,6,"SandRidge Energy, Inc.",13.35,-1.65,-0.11,953928,489898529,1500944,15
DISCK,50,19.999999999999996,7,"Discovery, Inc.",24.96,1.02,0.04261,1789142,12663363848,4936384,23.94
AY,48.016666666666666,0,8,Atlantica Sustainable Infrastructure plc,34.19,0.07,0.00205,91111,3843057647,561200,34.12
BEST,46.66446073639621,31.27968750000001,9,BEST Inc.,0.5036,0.0275,0.05776,1451710,126226560,4328947,0.4761
HA,41.71666666666667,42.499999999999986,10,"Hawaiian Holdings, Inc.",17.43,0.98,0.05957,294088,893002363,858308,16.45
ES,39.84333333333334,30.699999999999996,11,Eversource Energy,83.57,0.35,0.00421,720233,28784842861,2429197,83.22
AES,38.35555555555557,32.800000000000004,12,The AES Corporation,22.11,0.39,0.01796,962887,14756106590,5516979,21.72
NICE,38.350340136054406,0,13,NICE Ltd.,203.37,0.63,0.00311,133555,12837007456,486306,202.74
ASG,36.66666666666667,0,14,"Liberty All-Star Growth Fund, Inc.",6.6,0.11,0.01695,49242,281444480,312745,6.49
GO,36.50833333333334,0,15,Grocery Outlet Holding Corp.,28.405,0.325,0.01157,148669,2727887582,740530,28.08
EA,36.39999999999999,0,16,Electronic Arts Inc.,119.265,0.135,0.00113,584914,33539973793,1968240,119.13
ACXP,35.00000000000001,0,17,"Acurx Pharmaceuticals, Inc.",3.88,0.16,0.04301,2185,39262527,28085,3.72
XPO,34.81481481481481,33.33333333333333,18,"XPO Logistics, Inc.",70.82,1.77,0.02563,324302,8129654212,1686440,69.05
ACM,33.65476190476191,0,19,AECOM,74.85,-0.28,-0.00373,212729,10579506858,1373185,75.13
EL,32.88875,-19.999999999999996,20,The Estée Lauder Companies Inc.,259.55,9.17,0.03662,614750,93855098926,2877609,250.38
INMD,32.71999999999999,8.512500000000012,21,InMode Ltd.,34.24,-0.14,-0.00407,865170,2850179407,1261902,34.38
WAVE,32.23809523809524,-4.6628787878788,22,Eco Wave Power Global AB - ADR,4.88,-0.13000011,-0.025948126000000002,22243,27802274,194424,5.01
SCS,32.14285714285714,0,23,Steelcase Inc.,11.7,0.05,0.00429,115161,1018154253,724821,11.65
PPSI,30.000000000000004,0,24,"Pioneer Power Solutions, Inc.",5.65,0.06,0.01073,54364,49302154,134410,5.59
