ticker,posts,lastPosts,postsChange,likes,lastLikes,impressions,lastImpressions,rank,retweets,lastRetweets,name,price,change,changePercent,volume,marketCap,previousVolume,previousClose
DRUG,9,8,12.5,4,0,40453,36276,181,0,0,Bright Minds Biosciences Inc.,1.67,-0.04000008,-0.02339186,8,20258132,4670,1.71
MNST,45,40,12.5,51,31,95399,137986,182,13,7,Monster Beverage Corporation,76.47,3.98,0.0549,458835,40480072024,4426747,72.49
FSR,150,134,11.940298507462677,555,729,499289,199363,183,169,204,Fisker Inc.,11.13,0.24,0.02204,1417511,1830200305,8527852,10.89
SPY,11888,10682,11.290020595394124,94484,125169,35377183,28180549,184,14809,19430,SPDR S&P 500 ETF Trust,424,7.75,0.01862,18005517,385216720000,164772744,416.25
BBIG,1136,1022,11.154598825831696,43206,62795,1411350,1615213,185,7340,7800,"Vinco Ventures, Inc.",2.38,0.2,0.09174,4717023,326258347,24794044,2.18
MARA,540,487,10.882956878850102,21134,12156,1495374,1009656,186,9539,6017,"Marathon Digital Holdings, Inc.",25.15,2.8,0.12528,3585038,2581160269,10851565,22.35
CNTX,31,28,10.71428571428572,271,268,556230,194156,187,31,69,Context Therapeutics Inc.,1.72,0.005,0.0029154488,48754,18806781,435367,1.715
ALKM,11,10,10.000000000000009,5,7,30938,18958,188,1,4,Alkame Holdings Inc,0.0006,0,0,0,4679864,8556715,0.0006
EAT,67,61,9.836065573770503,23615,14094,43513,172253,189,22962,13693,"Brinker International, Inc.",35.285,2.615,0.08004,58871,1573681502,2009468,32.67
MVIS,48,44,9.090909090909083,117,141,89818,126906,190,30,20,"MicroVision, Inc.",4.5,0.12,0.0274,973354,740835419,6299092,4.38
AMZN,1178,1082,8.872458410351204,38427,17744,7393153,5306030,191,5181,2540,"Amazon.com, Inc.",2753.11,32.82,0.01206,604028,1400904633615,4583129,2720.29
TSLA,6276,5790,8.39378238341968,1217380,2296266,26735286,20458606,192,116692,242900,"Tesla, Inc.",837.68,13.28,0.01611,4475647,841252581223,26799702,824.4
ST,13,12,8.333333333333325,118,100,3017,243330,193,117,98,Sensata Technologies Holding plc,56.75,1.62,0.02939,91752,8945882782,3225390,55.13
SLB,329,304,8.223684210526304,1663,1159,2020592,2844644,194,375,289,Schlumberger Limited,42.9,-2.18,-0.04836,3619991,60618528656,41068138,45.08
SNOW,436,407,7.125307125307123,37468,13542,1516452,2475444,195,6251,2043,Snowflake Inc.,201.14,9.53,0.04974,1096351,57201403258,8598340,191.61
ASTR,585,549,6.557377049180335,60391,66104,780813,999117,196,41694,36967,"Astra Space, Inc.",3.62,-0.01,-0.00275,752861,731515384,6713313,3.63
FR,19,18,5.555555555555558,101,677,76399,82438,197,9,53,"First Industrial Realty Trust, Inc.",58.25,0.63,0.01093,13195,7676247677,716906,57.62
USO,696,663,4.977375565610864,5640,7187,6952055,10098354,198,1051,1345,"United States Oil Fund, LP",80.1,-5.33,-0.06239,3748659,3302010600,29882732,85.43
TLRY,281,268,4.850746268656714,1054,1371,1283719,1308124,199,207,300,"Tilray Brands, Inc.",5.5,0.2,0.03774,3483757,2643983491,24246696,5.3
ASML,44,42,4.761904761904767,92,68,162854,92851,200,30,30,ASML Holding N.V.,599.025,25.985,0.04535,266365,243488370590,1441787,573.04
