ticker,posts,lastPosts,postsChange,likes,lastLikes,impressions,lastImpressions,rank,retweets,lastRetweets,name,price,change,changePercent,volume,marketCap,previousVolume,previousClose
BBBY,2893,2027,42.723236309817466,19354891,187941,4128918,13043115,116,2436847,42915,Bed Bath & Beyond Inc.,23.3,0.44,0.01925,2211585,2244668713,18775533,22.86
CELH,37,26,42.307692307692314,187,778,175895,96785,117,38,123,"Celsius Holdings, Inc.",49.535,2.925,0.06275,72784,3710200973,1065690,46.61
RDFN,52,37,40.54054054054055,217,51,239926,88473,118,31,6,Redfin Corporation,20.035,0.665,0.03433,228848,2131656923,3140015,19.37
ISPO,137,98,39.79591836734695,1353,187,1850845,902393,119,94,62,Inspirato Incorporated,15.29,0.04,0.00262,165861,263752500,1370536,15.25
PSFE,46,33,39.393939393939405,317,39,132447,63718,120,59,7,Paysafe Limited,3.015,0.195,0.06915,1604799,442310585,9858355,2.82
ABBV,147,106,38.67924528301887,4747,258,2402523,686784,121,1055,95,AbbVie Inc.,147.99,0.84,0.00571,696286,261757879154,8817502,147.15
TNXP,110,80,37.5,746,532,909336,479998,122,174,186,Tonix Pharmaceuticals Holding Corp.,0.2187,-0.0068,-0.03016,7541545,108528905,54927608,0.2255
GGB,15,11,36.36363636363635,13,12,37846,63719,123,6,3,Gerdau S.A.,5.59,0.1,0.01821,1478569,6406314660,14784360,5.49
RAIL,96,71,35.2112676056338,366,580,333585,193024,124,113,140,"FreightCar America, Inc.",3.86,0.07,0.01847,12952,61556300,82563,3.79
EBAY,119,89,33.70786516853932,7476,2979,151163,257406,125,576,472,eBay Inc.,52.68,-0.41,-0.00772,986582,30951023242,9548989,53.09
DASH,735,550,33.63636363636364,9042,2955,7973578,5063551,126,1586,856,"DoorDash, Inc.",90,4.99,0.0587,664363,28589400000,6802084,85.01
ANF,12,9,33.33333333333333,5,15,24701,138112,127,5,2,Abercrombie & Fitch Co.,28.07,1.18,0.04388,326637,1585774398,3725506,26.89
ADUS,4,3,33.33333333333333,0,0,23044,7120,128,0,0,Addus HomeCare Corporation,83.65,3.040001,0.037712455,4568,1334384768,80259,80.61
CGC,135,102,32.35294117647059,476,602,2282014,585551,129,147,113,Canopy Growth Corporation,6.62,0.35,0.05582,1046635,2609411464,9870004,6.27
MAPS,113,86,31.39534883720929,87,385,3215828,2178248,130,46,174,"WM Technology, Inc.",5.77,0.27,0.04909,67010,406202617,1085710,5.5
AMPL,67,51,31.372549019607842,3752,642,254195,366064,131,1249,151,"Amplitude, Inc.",19.62,0.93,0.04976,24661,1153698497,883651,18.69
TWTR,489,375,30.400000000000006,15049,3388,4031947,2109668,132,7875,698,"Twitter, Inc.",34.055,1.375,0.04207,2071861,27265834908,17410612,32.68
LTBR,26,20,30.000000000000004,301,158,76610,153633,133,45,42,Lightbridge Corporation,10.01,0.4,0.04162,14481,76361705,341579,9.61
SENS,26,20,30.000000000000004,135,27,233213,252308,134,14,22,"Senseonics Holdings, Inc.",1.795,0.055,0.03161,699863,831346853,10159615,1.74
SD,22,17,29.41176470588236,188,69,117518,53577,135,22,6,"SandRidge Energy, Inc.",14.07,-1.2,-0.07859,51975,516009568,1177918,15.27
POST,22,17,29.41176470588236,6,4,262256,283043,136,0,0,"Post Holdings, Inc.",100.405,2.275,0.02318,16095,6211011632,964705,98.13
AABB,165,128,28.90625,792,453,333393,806166,137,333,265,Asia Broadband Inc,0.086,0,0,0,205879243,16506683,0.086
PFE,552,431,28.07424593967518,49725,11405,3056436,2550635,138,42007,7111,Pfizer Inc.,48.45,1.01,0.02129,3227003,272451136520,32913298,47.44
LAC,182,144,26.388888888888886,1606,2639,1023210,2145079,139,252,664,Lithium Americas Corp.,26.41,0.35,0.01343,1929023,3540196984,5112354,26.06
